0,"lisa rinzler 's cinematography may be lovely , but love liza 's tale itself virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension","the band performances featured in drumline are red hot but from a mere story point of view , the film 's ice cold","('0', '0')",tensor(0.1596)
1,"by candidly detailing the politics involved in the creation of an extraordinary piece of music , jones calls our attention to the inherent conflict between commerce and creativity",campanella gets the tone just right funny in the middle of sad in the middle of hopeful,"('1', '1')",tensor(0.1740)
2,campanella gets the tone just right funny in the middle of sad in the middle of hopeful,gives everyone something to shout about,"('1', '1')",tensor(0.2730)
3,"the band performances featured in drumline are red hot but from a mere story point of view , the film 's ice cold","a boring masquerade ball where normally good actors , even kingsley , are made to look bad","('0', '0')",tensor(0.1390)
4,"a boring masquerade ball where normally good actors , even kingsley , are made to look bad","several of steven soderbergh 's earlier films were hailed as the works of an artist sadly , full frontal plays like the work of a dilettante","('0', '0')",tensor(0.3303)
5,gives everyone something to shout about,the movie is one of the best examples of artful large format filmmaking you are likely to see anytime soon,"('1', '1')",tensor(0.1262)
6,"several of steven soderbergh 's earlier films were hailed as the works of an artist sadly , full frontal plays like the work of a dilettante","whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t shirt and shower scenes","('0', '0')",tensor(0.1962)
7,"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t shirt and shower scenes","far fetched premise , convoluted plot , and thematic mumbo jumbo about destiny and redemptive love","('0', '0')",tensor(0.3156)
8,the movie is one of the best examples of artful large format filmmaking you are likely to see anytime soon,sum is jack ryan 's do over give credit to everyone from robinson down to the key grip that this bold move works especially give credit to affleck,"('1', '1')",tensor(0.1283)
9,"far fetched premise , convoluted plot , and thematic mumbo jumbo about destiny and redemptive love",can be classified as one of those 'alternate reality' movies except that it would have worked so much better dealing in only one reality,"('0', '0')",tensor(0.2462)
10,can be classified as one of those 'alternate reality' movies except that it would have worked so much better dealing in only one reality,"despite some strong performances , never rises above the level of a telanovela","('0', '0')",tensor(0.0265)
11,"despite some strong performances , never rises above the level of a telanovela","rock 's stand up magic wanes hopkins , squarely fills the screen action mechanical","('0', '0')",tensor(0.1123)
12,"rock 's stand up magic wanes hopkins , squarely fills the screen action mechanical",a crass and insulting homage to great films like some like it hot and the john wayne classics,"('0', '0')",tensor(0.2408)
13,a crass and insulting homage to great films like some like it hot and the john wayne classics,"at a time when we 've learned the hard way just how complex international terrorism is , collateral damage paints an absurdly simplistic picture","('0', '0')",tensor(0.0548)
14,"at a time when we 've learned the hard way just how complex international terrorism is , collateral damage paints an absurdly simplistic picture","though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should","('0', '0')",tensor(0.2183)
15,"though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should","with rare birds , as with the shipping news before it , an attempt is made to transplant a hollywood star into newfoundland 's wild soil and the rock once again resists the intrusion","('0', '0')",tensor(0.1820)
16,"an ambitious , serious film that manages to do virtually everything wrong sitting through it is something akin to an act of cinematic penance","with rare birds , as with the shipping news before it , an attempt is made to transplant a hollywood star into newfoundland 's wild soil and the rock once again resists the intrusion","('0', '0')",tensor(0.2061)
17,"with rare birds , as with the shipping news before it , an attempt is made to transplant a hollywood star into newfoundland 's wild soil and the rock once again resists the intrusion","the film is grossly contradictory in conveying its social message , if indeed there is one","('0', '0')",tensor(0.1484)
18,sum is jack ryan 's do over give credit to everyone from robinson down to the key grip that this bold move works especially give credit to affleck,you live the mood rather than savour the story,"('1', '1')",tensor(0.0728)
19,you live the mood rather than savour the story,"crammed with incident , and bristles with passion and energy","('1', '1')",tensor(0.1925)
20,"the film is grossly contradictory in conveying its social message , if indeed there is one",i ca n't remember the last time i saw a movie where i wanted so badly for the protagonist to fail,"('0', '0')",tensor(0.3773)
21,"crammed with incident , and bristles with passion and energy","a thriller whose style , structure and rhythms are so integrated with the story , you cannot separate them","('1', '1')",tensor(0.2521)
22,i ca n't remember the last time i saw a movie where i wanted so badly for the protagonist to fail,"a clumsily manufactured exploitation flick , a style free exercise in manipulation and mayhem","('0', '0')",tensor(0.1806)
23,"a thriller whose style , structure and rhythms are so integrated with the story , you cannot separate them","it 's often infuriatingly glib and posturing , and yet it has been made with great evident care and manages to deliver up the man in a way to arouse further curiosity in even the most unknowing viewer","('1', '1')",tensor(0.2449)
24,"a clumsily manufactured exploitation flick , a style free exercise in manipulation and mayhem","at its best , it 's black hawk down with more heart at its worst , it 's rambo meets john ford","('0', '0')",tensor(0.0527)
25,"at its best , it 's black hawk down with more heart at its worst , it 's rambo meets john ford","aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships","('0', '0')",tensor(0.2209)
26,"aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships",not completely loveable but what underdog movie since the bad news bears has been \? but certainly hard to hate,"('0', '0')",tensor(0.3706)
27,not completely loveable but what underdog movie since the bad news bears has been \? but certainly hard to hate,"here 's a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior","('0', '0')",tensor(0.2720)
28,"here 's a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior","if routine action and jokes like this are your cup of tea , then pay your 8 and get ready for the big shear this is one baaaaaaaaad movie","('0', '0')",tensor(0.2558)
29,"it 's often infuriatingly glib and posturing , and yet it has been made with great evident care and manages to deliver up the man in a way to arouse further curiosity in even the most unknowing viewer",effectively feeds our senses with the chilling sights and sounds from within the camp to create a completely numbing experience,"('1', '1')",tensor(0.4097)
30,"if routine action and jokes like this are your cup of tea , then pay your 8 and get ready for the big shear this is one baaaaaaaaad movie",to portray modern women the way director davis has done is just unthinkable,"('0', '0')",tensor(0.1409)
31,effectively feeds our senses with the chilling sights and sounds from within the camp to create a completely numbing experience,"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of intacto 's dangerous and seductively stylish game","('1', '1')",tensor(0.3708)
32,to portray modern women the way director davis has done is just unthinkable,"the exploitative , clumsily staged violence overshadows everything , including most of the actors","('0', '0')",tensor(0.3688)
33,"the exploitative , clumsily staged violence overshadows everything , including most of the actors","an enigmatic film that 's too clever for its own good , it 's a conundrum not worth solving","('0', '0')",tensor(0.3496)
34,"an enigmatic film that 's too clever for its own good , it 's a conundrum not worth solving","purports to be a hollywood satire but winds up as the kind of film that should be the target of something deeper and more engaging oh , and more entertaining , too","('0', '0')",tensor(0.4510)
